event,room,slot,instructor
1260,10,1,NA
1262,15,1,NA
1261,19,1,NA
1259,23,1,NA
1251,60,1,NA
1252,62,1,NA
1253,64,1,NA
1263,7,1,NA
1244,81,1,NA
1245,82,1,NA
1246,83,1,NA
1247,84,1,NA
1248,85,1,NA
1249,86,1,NA
1250,87,1,NA
1254,88,1,NA
1255,89,1,NA
1256,90,1,NA
1257,91,1,NA
1258,92,1,NA
1280,10,2,NA
1282,15,2,NA
1281,19,2,NA
1279,23,2,NA
1271,60,2,NA
1272,62,2,NA
1273,64,2,NA
1283,7,2,NA
1264,81,2,NA
1265,82,2,NA
1266,83,2,NA
1267,84,2,NA
1268,85,2,NA
1269,86,2,NA
1270,87,2,NA
1274,88,2,NA
1275,89,2,NA
1276,90,2,NA
1277,91,2,NA
1278,92,2,NA
1300,10,3,NA
1302,15,3,NA
1301,19,3,NA
1299,23,3,NA
1291,60,3,NA
1292,62,3,NA
1293,64,3,NA
1303,7,3,NA
1284,81,3,NA
1285,82,3,NA
1286,83,3,NA
1287,84,3,NA
1288,85,3,NA
1289,86,3,NA
1290,87,3,NA
1294,88,3,NA
1295,89,3,NA
1296,90,3,NA
1297,91,3,NA
1298,92,3,NA
1320,10,4,NA
1322,15,4,NA
1321,19,4,NA
1319,23,4,NA
1311,60,4,NA
1312,62,4,NA
1313,64,4,NA
1323,7,4,NA
1304,81,4,NA
1305,82,4,NA
1306,83,4,NA
1307,84,4,NA
1308,85,4,NA
1309,86,4,NA
1310,87,4,NA
1314,88,4,NA
1315,89,4,NA
1316,90,4,NA
1317,91,4,NA
1318,92,4,NA
1044,10,5,NA
1028,15,5,NA
1022,19,5,NA
1045,23,5,NA
1331,60,5,NA
1332,62,5,NA
1333,64,5,NA
1101,7,5,NA
1324,81,5,NA
1325,82,5,NA
1326,83,5,NA
1327,84,5,NA
1328,85,5,NA
1329,86,5,NA
1330,87,5,NA
1334,88,5,NA
1335,89,5,NA
1336,90,5,NA
1075,91,5,NA
1046,92,5,NA
837,10,6,NA
833,15,6,NA
844,19,6,NA
1041,23,6,NA
1029,60,6,NA
1058,62,6,NA
1074,64,6,NA
816,7,6,NA
1087,81,6,NA
1067,82,6,NA
1047,83,6,NA
1064,84,6,NA
1043,85,6,NA
1049,86,6,NA
1048,87,6,NA
1050,88,6,NA
814,89,6,NA
1056,90,6,NA
1057,91,6,NA
1051,92,6,NA
173,10,7,NA
725,15,7,NA
355,19,7,NA
172,23,7,NA
1077,60,7,NA
845,62,7,NA
834,64,7,NA
684,7,7,NA
826,81,7,NA
815,82,7,NA
1065,83,7,NA
848,84,7,NA
1110,85,7,NA
1076,86,7,NA
827,87,7,NA
174,88,7,NA
176,89,7,NA
177,90,7,NA
178,91,7,NA
179,92,7,NA
857,10,8,NA
843,15,8,NA
358,19,8,NA
556,23,8,NA
1009,60,8,NA
877,62,8,NA
875,64,8,NA
540,7,8,NA
1232,81,8,NA
365,82,8,NA
429,83,8,NA
316,84,8,NA
922,85,8,NA
689,86,8,NA
552,87,8,NA
63,88,8,NA
1083,89,8,NA
353,90,8,NA
1072,91,8,NA
1081,92,8,NA
180,10,9,NA
1007,15,9,NA
373,19,9,NA
404,23,9,NA
65,60,9,NA
686,62,9,NA
352,64,9,NA
740,7,9,NA
249,81,9,NA
878,82,9,NA
546,83,9,NA
545,84,9,NA
644,85,9,NA
864,86,9,NA
582,87,9,NA
401,88,9,NA
1078,89,9,NA
741,90,9,NA
298,91,9,NA
777,92,9,NA
1059,10,10,NA
302,15,10,NA
100,19,10,NA
1203,23,10,NA
861,60,10,NA
544,62,10,NA
895,64,10,NA
542,7,10,NA
325,81,10,NA
1201,82,10,NA
721,83,10,NA
896,84,10,NA
55,85,10,NA
1038,86,10,NA
1037,87,10,NA
1042,88,10,NA
738,89,10,NA
735,90,10,NA
860,91,10,NA
550,92,10,NA
