event,room,slot,instructor
1344,100,1,NA
1345,101,1,NA
1346,102,1,NA
1347,103,1,NA
1354,13,1,NA
1353,24,1,NA
1355,25,1,NA
1352,28,1,NA
1349,34,1,NA
1348,46,1,NA
1351,48,1,NA
1350,5,1,NA
1356,51,1,NA
1337,93,1,NA
1338,94,1,NA
1339,95,1,NA
1340,96,1,NA
1341,97,1,NA
1342,98,1,NA
1343,99,1,NA
1364,100,2,NA
1365,101,2,NA
1366,102,2,NA
1367,103,2,NA
1374,13,2,NA
1373,24,2,NA
1375,25,2,NA
1372,28,2,NA
1369,34,2,NA
1368,46,2,NA
1371,48,2,NA
1370,5,2,NA
1376,51,2,NA
1357,93,2,NA
1358,94,2,NA
1359,95,2,NA
1360,96,2,NA
1361,97,2,NA
1362,98,2,NA
1363,99,2,NA
1384,100,3,NA
1385,101,3,NA
1386,102,3,NA
1387,103,3,NA
1394,13,3,NA
1393,24,3,NA
1395,25,3,NA
1392,28,3,NA
1389,34,3,NA
1388,46,3,NA
1391,48,3,NA
1390,5,3,NA
1396,51,3,NA
1377,93,3,NA
1378,94,3,NA
1379,95,3,NA
1380,96,3,NA
1381,97,3,NA
1382,98,3,NA
1383,99,3,NA
1404,100,4,NA
1405,101,4,NA
1406,102,4,NA
1407,103,4,NA
1414,13,4,NA
1413,24,4,NA
1415,25,4,NA
1412,28,4,NA
1409,34,4,NA
1408,46,4,NA
1411,48,4,NA
1410,5,4,NA
1416,51,4,NA
1397,93,4,NA
1398,94,4,NA
1399,95,4,NA
1400,96,4,NA
1401,97,4,NA
1402,98,4,NA
1403,99,4,NA
1424,100,5,NA
1425,101,5,NA
1426,102,5,NA
1427,103,5,NA
1434,13,5,NA
1433,24,5,NA
1435,25,5,NA
1432,28,5,NA
1429,34,5,NA
1428,46,5,NA
1431,48,5,NA
1430,5,5,NA
1436,51,5,NA
1417,93,5,NA
1418,94,5,NA
1419,95,5,NA
1420,96,5,NA
1421,97,5,NA
1422,98,5,NA
1423,99,5,NA
335,100,6,NA
336,101,6,NA
337,102,6,NA
338,103,6,NA
348,13,6,NA
346,24,6,NA
340,25,6,NA
344,28,6,NA
349,34,6,NA
341,46,6,NA
343,48,6,NA
342,5,6,NA
339,51,6,NA
1437,93,6,NA
1438,94,6,NA
1439,95,6,NA
1440,96,6,NA
1441,97,6,NA
1442,98,6,NA
1443,99,6,NA
192,100,7,NA
713,101,7,NA
679,102,7,NA
66,103,7,NA
836,13,7,NA
570,24,7,NA
539,25,7,NA
842,28,7,NA
683,34,7,NA
685,46,7,NA
675,48,7,NA
169,5,7,NA
674,51,7,NA
345,93,7,NA
347,94,7,NA
194,95,7,NA
636,96,7,NA
573,97,7,NA
572,98,7,NA
1167,99,7,NA
181,100,8,NA
677,101,8,NA
189,102,8,NA
752,103,8,NA
1168,13,8,NA
734,24,8,NA
191,25,8,NA
849,28,8,NA
351,34,8,NA
1197,46,8,NA
948,48,8,NA
1199,5,8,NA
411,51,8,NA
425,93,8,NA
193,94,8,NA
1198,95,8,NA
186,96,8,NA
673,97,8,NA
950,98,8,NA
682,99,8,NA
634,100,9,NA
571,101,9,NA
1195,102,9,NA
848,103,9,NA
579,13,9,NA
540,24,9,NA
704,25,9,NA
838,28,9,NA
492,34,9,NA
541,46,9,NA
1196,48,9,NA
686,5,9,NA
187,51,9,NA
234,93,9,NA
575,94,9,NA
218,95,9,NA
406,96,9,NA
843,97,9,NA
731,98,9,NA
845,99,9,NA
407,100,10,NA
841,101,10,NA
275,102,10,NA
542,103,10,NA
491,13,10,NA
840,24,10,NA
684,25,10,NA
729,28,10,NA
427,34,10,NA
637,46,10,NA
887,48,10,NA
280,5,10,NA
641,51,10,NA
34,93,10,NA
1165,94,10,NA
646,95,10,NA
833,96,10,NA
1170,97,10,NA
496,98,10,NA
839,99,10,NA
