id,capacity,location
93,31,"494,460"
94,49,"494,460"
95,22,"490,456"
96,16,"490,456"
97,30,"490,456"
98,20,"490,456"
99,16,"490,456"
100,16,"490,456"
101,20,"490,456"
102,14,"490,456"
103,20,"490,456"
46,60,"494,460"
34,96,"467,445"
5,70,"487,447"
48,60,"443,458"
28,273,"477,484"
24,78,"479,468"
13,66,"496,443"
25,96,"481,478"
51,54,"479,468"
71,47,"460,438"
3,118,"451,435"
29,99,"477,484"
30,115,"477,484"
27,268,"475,483"
9,172,"489,468"
65,40,"460,438"
12,88,"496,443"
66,40,"460,438"
22,180,"455,442"
43,91,"480,445"
77,48,"460,432"
41,155,"476,445"
59,39,"488,473"
37,80,"460,432"
10,148,"489,468"
7,470,"461,444"
76,48,"460,432"
18,189,"437,411"
19,82,"443,458"
42,474,"476,445"
38,80,"460,432"
35,205,"446,413"
6,100,"465,485"
64,40,"460,438"
39,140,"480,445"
16,445,"437,411"
23,174,"479,468"
11,234,"470,481"
63,40,"460,438"
8,468,"486,471"
74,48,"460,432"
45,60,"470,481"
72,40,"460,438"
32,70,"452,481"
26,220,"450,426"
57,48,"489,468"
40,76,"476,445"
73,48,"460,432"
15,132,"496,415"
58,40,"488,473"
75,48,"460,432"
44,63,"461,490"
54,51,"437,411"
31,136,"505,415"
87,24,"443,458"
4,82,"451,435"
95,,
95,,
95,,
98,,
98,,
98,,
101,,
101,,
101,,
101,,
101,,
101,,
98,,
98,,
98,,
98,,
98,,
98,,
97,,
97,,
97,,
97,,
101,,
101,,
101,,
101,,
94,,
100,,
100,,
100,,
95,,
95,,
95,,
95,,
95,,
95,,
95,,
95,,
99,,
99,,
99,,
99,,
99,,
95,,
95,,
95,,
103,,
103,,
103,,
103,,
97,,
97,,
97,,
97,,
97,,
103,,
103,,
103,,
101,,
101,,
101,,
94,,
99,,
94,,
100,,
100,,
100,,
94,,
100,,
100,,
94,,
101,,
101,,
94,,
99,,
99,,
94,,
96,,
96,,
96,,
94,,
99,,
99,,
99,,
103,,
103,,
103,,
103,,
94,,
103,,
103,,
94,,
94,,
100,,
100,,
97,,
97,,
97,,
97,,
97,,
97,,
103,,
103,,
94,,
99,,
94,,
97,,
46,,
46,,
34,,
34,,
5,,
48,,
28,,
24,,
13,,
25,,
51,,
46,,
46,,
5,,
5,,
51,,
28,,
5,,
5,,
71,,
25,,
3,,
28,,
29,,
30,,
27,,
27,,
9,,
27,,
65,,
12,,
66,,
22,,
28,,
43,,
46,,
77,,
41,,
28,,
59,,
27,,
37,,
27,,
10,,
7,,
76,,
18,,
77,,
59,,
65,,
22,,
71,,
19,,
7,,
42,,
46,,
38,,
35,,
65,,
6,,
64,,
27,,
39,,
77,,
64,,
35,,
48,,
27,,
76,,
65,,
35,,
16,,
3,,
10,,
7,,
71,,
23,,
64,,
71,,
29,,
65,,
11,,
63,,
8,,
41,,
41,,
38,,
7,,
74,,
16,,
65,,
45,,
27,,
13,,
59,,
10,,
59,,
59,,
46,,
27,,
28,,
71,,
72,,
72,,
10,,
59,,
12,,
35,,
32,,
72,,
72,,
43,,
16,,
48,,
42,,
74,,
13,,
28,,
26,,
41,,
34,,
57,,
27,,
72,,
40,,
23,,
73,,
41,,
11,,
73,,
7,,
28,,
26,,
26,,
71,,
16,,
16,,
8,,
7,,
57,,
13,,
7,,
7,,
15,,
7,,
5,,
35,,
35,,
8,,
3,,
41,,
18,,
42,,
10,,
16,,
72,,
71,,
16,,
35,,
38,,
16,,
72,,
46,,
58,,
22,,
51,,
8,,
42,,
75,,
5,,
8,,
66,,
8,,
35,,
66,,
16,,
44,,
9,,
10,,
22,,
28,,
16,,
41,,
7,,
16,,
72,,
9,,
18,,
65,,
66,,
19,,
75,,
8,,
12,,
27,,
42,,
32,,
27,,
12,,
28,,
54,,
25,,
40,,
65,,
18,,
31,,
29,,
7,,
16,,
76,,
42,,
74,,
54,,
57,,
44,,
22,,
54,,
3,,
22,,
16,,
87,,
66,,
9,,
4,,
9,,
7,,
10,,
58,,
43,,
41,,
37,,
72,,
71,,
54,,
38,,
5,,
29,,
30,,
66,,
39,,
23,,
46,,
64,,
28,,
15,,
10,,
22,,
18,,
37,,
48,,
