id,capacity,location
81,22,"450,449"
82,25,"450,449"
83,24,"450,449"
84,61,"450,449"
85,36,"443,458"
86,25,"443,458"
87,24,"443,458"
60,40,"460,438"
62,40,"460,438"
64,40,"460,438"
88,25,"443,458"
89,24,"443,458"
90,25,"443,458"
91,17,"450,449"
92,44,"485,430"
23,174,"479,468"
10,148,"489,468"
19,82,"443,458"
15,132,"496,415"
7,470,"461,444"
9,172,"489,468"
27,268,"475,483"
70,40,"460,438"
3,118,"451,435"
30,115,"477,484"
8,468,"486,471"
69,36,"443,458"
22,180,"455,442"
58,40,"488,473"
73,48,"460,432"
78,30,"455,442"
67,40,"460,438"
68,40,"460,438"
43,91,"480,445"
42,474,"476,445"
65,40,"460,438"
35,205,"446,413"
39,140,"480,445"
54,51,"437,411"
41,155,"476,445"
76,48,"460,432"
31,136,"505,415"
29,99,"477,484"
26,220,"450,426"
40,76,"476,445"
25,96,"481,478"
77,48,"460,432"
16,445,"437,411"
61,40,"460,438"
75,48,"460,432"
37,80,"460,432"
18,189,"437,411"
57,48,"489,468"
28,273,"477,484"
59,39,"488,473"
48,60,"443,458"
66,40,"460,438"
63,40,"460,438"
47,60,"431,413"
71,47,"460,438"
38,80,"460,432"
5,70,"487,447"
50,54,"479,468"
44,63,"461,490"
34,96,"467,445"
11,234,"470,481"
32,70,"452,481"
1,75,"450,406"
74,48,"460,432"
13,66,"496,443"
36,75,"446,412"
6,100,"465,485"
46,60,"494,460"
45,60,"470,481"
80,24,"460,438"
12,88,"496,443"
49,63,"479,468"
33,197,"452,481"
72,40,"460,438"
24,78,"479,468"
20,196,"467,367"
87,,
87,,
87,,
87,,
87,,
87,,
87,,
87,,
87,,
87,,
87,,
87,,
84,,
85,,
60,,
62,,
64,,
82,,
82,,
82,,
82,,
82,,
84,,
86,,
86,,
86,,
82,,
82,,
82,,
90,,
90,,
90,,
90,,
84,,
84,,
85,,
60,,
62,,
64,,
88,,
88,,
84,,
85,,
60,,
62,,
64,,
88,,
88,,
82,,
82,,
82,,
82,,
84,,
85,,
60,,
62,,
64,,
84,,
85,,
60,,
62,,
64,,
86,,
86,,
84,,
88,,
88,,
88,,
84,,
85,,
60,,
62,,
64,,
82,,
84,,
85,,
60,,
62,,
64,,
84,,
85,,
60,,
62,,
64,,
91,,
91,,
84,,
60,,
62,,
64,,
81,,
81,,
84,,
85,,
60,,
62,,
64,,
84,,
85,,
60,,
62,,
64,,
84,,
85,,
60,,
62,,
64,,
81,,
81,,
84,,
85,,
60,,
62,,
64,,
84,,
85,,
60,,
62,,
64,,
84,,
85,,
60,,
62,,
64,,
84,,
85,,
60,,
62,,
64,,
84,,
85,,
60,,
62,,
64,,
84,,
85,,
60,,
62,,
64,,
84,,
85,,
60,,
62,,
64,,
84,,
85,,
60,,
62,,
64,,
84,,
85,,
60,,
62,,
64,,
92,,
84,,
85,,
60,,
62,,
64,,
84,,
85,,
60,,
62,,
64,,
84,,
85,,
60,,
62,,
64,,
84,,
