event,room,slot,instructor
298,10,1,NA
814,15,1,NA
179,19,1,NA
1284,23,1,NA
1269,60,1,NA
1271,62,1,NA
1305,64,1,NA
542,10,2,NA
65,15,2,NA
1038,19,2,NA
1336,23,2,NA
1257,60,2,NA
1282,62,2,NA
1332,64,2,NA
404,10,3,NA
1319,15,3,NA
1078,19,3,NA
1083,23,3,NA
1268,60,3,NA
1327,62,3,NA
878,10,4,NA
827,15,4,NA
1276,19,4,NA
1022,23,4,NA
1261,60,4,NA
1303,62,4,NA
684,10,5,NA
1049,15,5,NA
1253,19,5,NA
1245,23,5,NA
1288,60,5,NA
1313,62,5,NA
922,10,6,NA
848,15,6,NA
1056,19,6,NA
1272,23,6,NA
1291,60,6,NA
1318,62,6,NA
1326,64,6,NA
738,10,7,NA
1042,15,7,NA
1050,19,7,NA
1264,23,7,NA
1274,60,7,NA
1328,64,7,NA
546,10,8,NA
843,15,8,NA
1246,19,8,NA
1074,23,8,NA
1285,60,8,NA
1309,62,8,NA
55,10,9,NA
1247,15,9,NA
100,19,9,NA
1292,23,9,NA
1273,60,9,NA
1317,62,9,NA
861,10,10,NA
582,15,10,NA
1250,19,10,NA
1064,23,10,NA
1275,60,10,NA
1296,62,10,NA
1321,64,10,NA
302,10,11,NA
741,15,11,NA
1333,19,11,NA
1059,23,11,NA
1110,60,11,NA
1320,62,11,NA
1302,64,11,NA
352,10,12,NA
816,15,12,NA
857,19,12,NA
1081,23,12,NA
1324,60,12,NA
1277,62,12,NA
1047,64,12,NA
365,10,13,NA
689,15,13,NA
845,19,13,NA
1007,23,13,NA
1299,60,13,NA
1278,62,13,NA
1334,64,13,NA
178,82,13,NA
180,10,14,NA
550,15,14,NA
1046,19,14,NA
1290,23,14,NA
1249,60,14,NA
1255,62,14,NA
173,64,14,NA
355,10,15,NA
725,15,15,NA
896,19,15,NA
1251,23,15,NA
1254,60,15,NA
1314,62,15,NA
1335,64,15,NA
1077,88,15,NA
358,10,16,NA
552,15,16,NA
1041,19,16,NA
1087,23,16,NA
1279,60,16,NA
1304,62,16,NA
316,10,17,NA
721,15,17,NA
172,19,17,NA
1076,23,17,NA
1300,60,17,NA
1280,62,17,NA
1310,64,17,NA
353,10,18,NA
540,15,18,NA
1029,19,18,NA
1051,23,18,NA
1281,60,18,NA
1283,62,18,NA
176,64,18,NA
545,10,19,NA
644,15,19,NA
1048,19,19,NA
1248,23,19,NA
1260,60,19,NA
1295,62,19,NA
1330,64,19,NA
429,10,20,NA
833,15,20,NA
1037,19,20,NA
1259,23,20,NA
1258,60,20,NA
1308,62,20,NA
1311,64,20,NA
815,10,21,NA
735,15,21,NA
1244,19,21,NA
1232,23,21,NA
1256,60,21,NA
1316,62,21,NA
1325,64,21,NA
373,10,22,NA
834,15,22,NA
1028,19,22,NA
1201,23,22,NA
1294,60,22,NA
1323,62,22,NA
325,10,23,NA
844,15,23,NA
1058,19,23,NA
1067,23,23,NA
1297,60,23,NA
1287,62,23,NA
174,64,23,NA
544,10,24,NA
686,15,24,NA
1044,19,24,NA
1203,23,24,NA
1262,60,24,NA
1286,62,24,NA
1329,64,24,NA
837,10,25,NA
860,15,25,NA
1043,19,25,NA
1252,23,25,NA
1263,60,25,NA
1298,62,25,NA
1331,64,25,NA
556,10,26,NA
864,15,26,NA
1009,19,26,NA
1072,23,26,NA
1266,60,26,NA
1315,62,26,NA
1322,64,26,NA
401,10,27,NA
826,15,27,NA
1101,19,27,NA
1075,23,27,NA
1306,60,27,NA
1312,62,27,NA
63,10,28,NA
877,15,28,NA
1065,19,28,NA
249,23,28,NA
1265,60,28,NA
1289,62,28,NA
777,10,29,NA
895,15,29,NA
1057,19,29,NA
1307,23,29,NA
1293,60,29,NA
177,62,29,NA
875,10,30,NA
740,15,30,NA
1045,19,30,NA
1267,23,30,NA
1270,60,30,NA
1301,62,30,NA
